,Turno,ID Empleado,ID Puesto,Email,Puesto,Departamento,Tipo Puesto,Nom_Completo
0,A,6,50-32200,jesus.villa@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,Jesus Villa
1,,60,50-32200,patricia.diaz@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,Patricia Diaz
2,B,2,50-32200,antonio.duarte@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,Antonio Duarte
3,,24,50-32200,jesus.villanueva@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,Jesus Villanueva
4,,98,50-32200,patricia.gallegos@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,Patricia Gallegos
5,,1409,50-32200,antonio.contreras@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,Antonio Contreras
6,,10,15-24100,ricardo.mendez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ricardo Mendez
7,,27,15-24100,dessens.duran@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Dessens Duran
8,,63,15-24100,fernando.pareja@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Fernando Pareja
9,,99,15-24100,diana.garcia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Diana Garcia
10,,121,15-24100,edelmira.machado@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Edelmira Machado
11,,192,15-24100,ivan.perez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ivan Perez
12,,213,15-24100,guadalupe.estrada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Guadalupe Estrada
13,,215,15-24100,ignacio.espinoza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Ignacio Espinoza
14,,236,15-24100,maria.santos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Maria Santos
15,,265,15-24100,jaime.santacruz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jaime Santacruz
16,,286,15-24100,eliana .cardona@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Eliana  Cardona
17,,325,15-24100,enrique.gamez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Enrique Gamez
18,,336,15-24100,solina.zapata@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Solina Zapata
19,,338,15-24100,maritza.corrales@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Maritza Corrales
20,,353,15-24100,martin.villanes@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Martin Villanes
21,,361,15-24100,jose.fabela@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jose Fabela
22,,367,15-24100,juan.aldrete@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Juan Aldrete
23,,424,15-24100,alicia.brickner@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alicia Brickner
24,,426,15-24100,uribe.corella@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Uribe Corella
25,,493,15-24100,alejandro.pemberthy@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alejandro Pemberthy
26,,563,15-24100,felipa.anaya@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Felipa Anaya
27,,607,15-24100,lorenia.galaz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lorenia Galaz
28,,664,15-24100,heberto.santillanez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Heberto Santillanez
29,,669,15-24100,jorge.romero@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Jorge Romero
30,,688,15-24100,alfonso.celada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Alfonso Celada
31,,731,15-24100,luis.almaraz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luis Almaraz
32,,849,15-24100,yolanda.sortillon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Yolanda Sortillon
33,,911,15-24100,gabriel.aldrete@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gabriel Aldrete
34,,949,15-24100,luz.zea@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Luz Zea
35,,967,15-24100,lamberto.reynoso@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Lamberto Reynoso
36,,1000,15-24100,manuel.alegria@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Manuel Alegria
37,,1052,15-24100,laura.santos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Laura Santos
38,,1079,15-24100,gerardo.mora@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gerardo Mora
39,,1103,15-24100,guadalupe.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Guadalupe Ochoa
40,,1156,15-24100,isbelia.gonzalez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Isbelia Gonzalez
41,,1167,15-24100,gabriela.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Gabriela Ochoa
42,,1199,15-24100,elena.henao@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Elena Henao
43,,1207,15-24100,carrillo.arguello@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Carrillo Arguello
44,,1218,15-24100,manuel.villanes@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios,Manuel Villanes
