,Turno,ID Empleado,Apellido,Nombre,ID Puesto,Email,Puesto,Departamento,Tipo Puesto
0,A,6,VILLA,JESUS,50-32200,jesus.villa@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
1,,60,DIAZ,PATRICIA,50-32200,patricia.diaz@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
2,B,2,DUARTE,ANTONIO,50-32200,antonio.duarte@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
3,,24,VILLANUEVA,JESUS,50-32200,jesus.villanueva@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
4,,98,GALLEGOS,PATRICIA,50-32200,patricia.gallegos@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
5,,1409,CONTRERAS,ANTONIO,50-32200,antonio.contreras@tractchun.com,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo
6,,10,MENDEZ,RICARDO,15-24100,ricardo.mendez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
7,,27,DURAN,DESSENS,15-24100,dessens.duran@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
8,,63,Pareja,Fernando,15-24100,fernando.pareja@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
9,,99,GARCIA,DIANA,15-24100,diana.garcia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
10,,121,MACHADO,EDELMIRA,15-24100,edelmira.machado@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
11,,192,PEREZ,IVAN,15-24100,ivan.perez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
12,,213,ESTRADA,GUADALUPE,15-24100,guadalupe.estrada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
13,,215,ESPINOZA,IGNACIO,15-24100,ignacio.espinoza@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
14,,236,SANTOS,MARIA,15-24100,maria.santos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
15,,265,SANTACRUZ,JAIME,15-24100,jaime.santacruz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
16,,286,Cardona,Eliana ,15-24100,eliana .cardona@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
17,,325,GAMEZ,ENRIQUE,15-24100,enrique.gamez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
18,,336,Zapata,Solina,15-24100,solina.zapata@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
19,,338,CORRALES,MARITZA,15-24100,maritza.corrales@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
20,,353,VILLANES,MARTIN,15-24100,martin.villanes@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
21,,361,FABELA,JOSE,15-24100,jose.fabela@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
22,,367,ALDRETE,JUAN,15-24100,juan.aldrete@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
23,,424,BRICKNER,ALICIA,15-24100,alicia.brickner@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
24,,426,CORELLA,URIBE,15-24100,uribe.corella@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
25,,493,Pemberthy,Alejandro,15-24100,alejandro.pemberthy@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
26,,563,ANAYA,FELIPA,15-24100,felipa.anaya@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
27,,607,GALAZ,LORENIA,15-24100,lorenia.galaz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
28,,664,SANTILLANEZ,HEBERTO,15-24100,heberto.santillanez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
29,,669,ROMERO,JORGE,15-24100,jorge.romero@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
30,,688,CELADA,ALFONSO,15-24100,alfonso.celada@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
31,,731,ALMARAZ,LUIS,15-24100,luis.almaraz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
32,,849,SORTILLON,YOLANDA,15-24100,yolanda.sortillon@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
33,,911,ALDRETE,GABRIEL,15-24100,gabriel.aldrete@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
34,,949,Zea,Luz,15-24100,luz.zea@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
35,,967,REYNOSO,LAMBERTO,15-24100,lamberto.reynoso@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
36,,1000,ALEGRIA,MANUEL,15-24100,manuel.alegria@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
37,,1052,SANTOS,LAURA,15-24100,laura.santos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
38,,1079,MORA,GERARDO,15-24100,gerardo.mora@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
39,,1103,OCHOA,GUADALUPE,15-24100,guadalupe.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
40,,1156,Gonzalez,Isbelia,15-24100,isbelia.gonzalez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
41,,1167,OCHOA,GABRIELA,15-24100,gabriela.ochoa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
42,,1199,Henao,Elena,15-24100,elena.henao@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
43,,1207,ARGUELLO,CARRILLO,15-24100,carrillo.arguello@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
44,,1218,VILLANES,MANUEL,15-24100,manuel.villanes@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
45,,1243,MARTINEZ,MANUEL,15-24100,manuel.martinez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
46,,1276,DELGADILLO,CASIMIRO,15-24100,casimiro.delgadillo@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
47,,1284,Argáez,Albeiro,15-24100,albeiro.argáez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
48,,1289,BUSTAMANTE,MAGNOLIA,15-24100,magnolia.bustamante@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
49,,1336,LERMA,GENARO,15-24100,genaro.lerma@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
50,,1354,LOPEZ,FEDERICO,15-24100,federico.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
51,,1358,CORELLA,ALFONSO,15-24100,alfonso.corella@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
52,,1367,BOJORQUEZ,MARCOS,15-24100,marcos.bojorquez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
53,,1373,LERMA,IBARRA,15-24100,ibarra.lerma@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
54,,1443,DOMINGUEZ,IRMA,15-24100,irma.dominguez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
55,,1454,SANTOS,MONGE,15-24100,monge.santos@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
56,,1461,AMAYA,JEANETT,15-24100,jeanett.amaya@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
57,,1467,MUÑOZ,ALEX,15-24100,alex.muñoz@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
58,,1500,MUNGUIA,VEGA,15-24100,vega.munguia@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
59,,1528,FIGUEROA,ALFONSO,15-24100,alfonso.figueroa@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
60,,1544,Velez,Mauro,15-24100,mauro.velez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
61,,1553,ROBLES,PAEZ,15-24100,paez.robles@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
62,,1589,LOPEZ,SALVADORA,15-24100,salvadora.lopez@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
63,,1608,ACOSTA,KARLA,15-24100,karla.acosta@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
64,,1653,COFFEY,SERGIO,15-24100,sergio.coffey@tractchun.com,Supervisor de Producción,PRODUCCION,Mandos Medios
